avgDeathsPerYear,TARGET_deathRate,medIncome,popEst2015,povertyPercent,MedianAge,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctBachDeg18_24,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,BirthRate
469,164.9,61898,260131,11.2,39.3,2.54,52.5,11.5,6.9,19.6,51.9,8,6.118831029
70,161.3,48127,43269,18.6,33,2.34,44.5,6.1,7.5,22.7,55.9,7.8,4.333095578
50,174.7,49348,21026,14.6,45,2.62,54.2,24,9.5,16,45.9,7,3.729487817
202,194.8,44243,75882,17.1,42.8,2.52,52.7,20.2,2.5,9.3,48.3,12.1,4.603840773
26,144.4,49955,10321,12.5,48.3,2.34,57.8,14.9,2,15,48.2,4.8,6.796657382
152,176,52313,61023,15.6,45.4,2.58,50.4,29.9,4.5,11.9,44.1,12.9,4.964476021
97,175.9,37782,41516,23.2,42.6,2.42,54.1,26.1,5.8,11.9,51.8,8.9,4.204317269
71,183.6,40189,20848,17.8,51.7,2.24,52.7,27.3,2.2,11.3,40.9,8.9,5.889178996
36,190.5,42579,13088,22.3,49.3,2.38,55.9,34.7,1.4,12,39.5,10.3,5.587583149
1380,177.8,60397,843954,13.1,35.8,2.65,50,15.6,7.1,16.2,56.6,9.2,5.533430211
36,121.4,54721,16252,12.7,54.4,2.04,56.8,17.7,5.2,26.2,54.6,5.9,4.586129754
269,172.7,51395,121846,15.7,41,2.56,53.6,25.5,3.1,15.9,,8.2,5.818153266
26,188.3,52673,11339,12.6,45.2,2.49,54.4,20,2.4,14.2,51.5,8.3,4.805591962
1118,165.3,71890,772501,9.9,37.6,2.68,52.1,15.4,8.3,20.9,62.1,7.5,4.729251068
901,171,50083,490945,16.3,37.2,2.45,49.4,10.9,8.6,18.1,55.1,8.4,5.355835918
106,174.2,43823,43791,19.3,46.2,2.44,57.2,25.1,3.9,10.7,46.3,9.4,3.631082062
483,169.9,61653,269536,11.9,38.5,2.52,52.4,14.8,7.4,20.3,56.5,8.5,5.180155167
12,153.8,51022,4042,13.9,52.1,2.31,53.5,37.2,4.2,10.1,35.7,10.6,0.535475234
120,162.8,49819,60338,15.7,36.9,2.5,46.5,13.7,5.6,16.4,54.5,6.4,4.138710893
367,163.3,53733,212284,15.7,36.5,2.53,47.5,9.4,7.7,21.3,57.8,8.2,4.4729858
50,140.8,41837,48177,28.4,24.2,2.31,36.1,1.2,10.3,25.7,53.4,8.8,3.304159034
403,169.4,44342,248830,20.5,32.5,3.05,48.6,28.7,3,9.8,56,9,6.560611666
41,189.7,35615,16704,21.5,41.5,2.68,52,9.8,8.3,7.9,46.5,9,2.292860865
215,206.1,56737,111901,13.2,38.4,0.0263,51.8,17,10,12.7,58.7,9.7,4.872468117
70,236.7,37625,23372,22.1,41.9,2.5,55.2,21.3,5.2,5.4,39.5,9.2,4.220287661
40,196.3,33817,14415,22.2,44.5,2.51,52.4,32.6,3.4,8.5,44.3,14.4,5.469020422
69,186.2,43572,23350,15.1,45.9,2.26,50.3,11.1,3.8,11,51.9,6.4,4.970530452
237,194,34887,96844,21.9,38.5,2.32,43,9.7,11.5,14.8,50.3,6.8,4.521925134
25,226.5,32162,7470,21.8,47,2.44,55.7,11.6,0,7.6,39.9,18.1,4.780114723
26,212.9,32961,8910,25.1,43.3,2.62,55.8,19.5,0,5.8,39.6,12.3,8.753056235
19,185.6,41838,8176,17.4,43.7,2.85,45.8,26.2,1.9,8.8,41,6.5,6.016466118
137,217,36739,44997,21.4,43.2,2.47,50.9,17.3,4.4,8.4,42.6,9.2,6.526136485
21,209.9,32705,8518,28.9,38.4,2.4,43.2,7.8,3.9,9.8,37.1,9.4,2.328431373
22,128,41039,11766,17,45.6,0.028,50.5,16.3,8.4,7,51.3,6.7,3.528435035
103,195.1,36996,35516,21.1,45.3,2.28,52.2,22.4,13.3,11.2,48.2,7.2,4.354354354
66,212.1,35980,23353,21.2,44.6,2.25,38.7,21.5,5.3,6.9,46,8.1,2.28320067
85,184.1,48178,29815,12.9,45.6,2.32,51.8,20,14.8,12.6,53.2,7.2,5.693029274
29,153,41010,13852,15.3,44.5,2.69,50.1,24.9,3.9,9.3,53.7,7.9,2.955003358
192,206.7,42121,68714,13.9,42,2.48,52.4,17.7,9.5,13.5,53,7.4,5.060383303
78,194.2,41121,29237,16.7,42.6,2.62,54.5,13.7,9.2,11.7,46.8,6.8,4.735242361
101,178.2,66950,56482,10.2,39.7,2.65,53.3,14.1,6.2,18.2,60.3,8.4,4.995519713
539,205.4,43936,188332,16.8,42.8,2.28,47.9,20.4,7.6,14.7,54.1,7,4.091266719
50,218.4,40568,16448,20,43.3,2.48,50.6,15.6,9.8,9.3,47.1,7.2,4.374100719
60,226.9,34295,21415,24.4,41.9,2.69,50.6,16.9,5.2,5.7,42.2,10.1,2.635983264
113,240.1,36437,34707,20.2,42.6,2.5,53.1,15,2.2,5.5,40.5,10.9,4.195713917
70,234.8,24707,19835,34.9,44.1,2.39,46,32.3,3.1,3.2,27,13.3,3.860072376
144,188.8,43729,56925,17.9,41.1,2.47,51,11.2,5.4,14.5,,4.9,5.113459745
87,184.6,43356,31978,15.2,44.3,2.36,57.7,8.5,9.2,11.4,50.9,7,3.174132305
78,209.5,35799,27037,20.6,43,2.44,51.6,23.1,3.3,7.8,41.2,10.3,3.66910141
184,210,35046,61164,20.5,42.3,2.39,50.6,14,6.1,12.5,46.6,5.1,4.807972069
76,198.4,40012,27451,16.1,43.2,2.4,44.2,9.5,4.8,8.5,47,8.8,7.391231312
76,240.8,29839,25292,28.1,41.7,2.38,55.6,17.2,0.6,5.4,38.1,14.1,2.796024928
132,155.9,43835,104236,22.5,30,2.56,37.2,3.5,14.5,20.6,55.4,5.8,4.001671717
39,190.7,36351,13506,19.3,46.6,2.3,56.8,10.6,0.3,8.7,48,7.3,6.07651913
52,209.7,44446,17524,13,46.1,2.36,47.7,13.3,7.6,11.1,49.3,12.3,4.090035685
72,199.8,36375,25594,19.6,43.4,2.39,57.9,14.7,1.3,8.2,46.5,8.4,3.346456693
123,184.4,40195,43066,18.4,43.3,2.24,45.2,8.9,8.1,18.7,56,5.5,3.257226644
19,139.8,38204,7229,16.7,49.1,2.35,55.3,25.9,3.6,7.3,45.4,4.9,7.611940299
21,213.3,44801,7674,16.5,43.6,2.43,55,9,4.3,7.3,45.6,8.2,2.966381015
23,176.8,34341,8607,17.6,48.4,2.24,56.4,10,8,10,50.7,5.7,4.256631709
73,169.8,41420,33940,17.6,42.3,2.52,53.3,18,5.9,9,49.5,7,4.038301415
114,171.5,59472,56848,10,41,2.6,57.4,7.7,5.8,14.8,57.7,3.7,6.034482759
